iter	Passed	Remaining
1522	4659	7577
1523	4663	7576
1524	4666	7573
1525	4671	7574
1526	4675	7571
1527	4676	7566
1528	4681	7565
1529	4684	7561
1530	4689	7562
1531	4692	7559
1532	4696	7558
1533	4702	7559
1534	4705	7556
1535	4708	7553
1536	4711	7549
1537	4715	7548
1538	4720	7548
1539	4723	7545
1540	4728	7546
1541	4731	7542
1542	4737	7543
1543	4740	7540
1544	4745	7540
1545	4751	7541
1546	4754	7538
1547	4757	7535
1548	4759	7531
1549	4762	7527
1550	4765	7523
1551	4769	7523
1552	4772	7520
1553	4775	7517
1554	4778	7513
1555	4781	7510
1556	4787	7511
1557	4790	7507
1558	4795	7508
1559	4798	7504
1560	4801	7501
1561	4803	7498
1562	4806	7494
1563	4810	7493
1564	4813	7489
1565	4815	7483
1566	4817	7480
1567	4820	7476
1568	4821	7470
1569	4824	7467
1570	4827	7463
1571	4830	7461
1572	4834	7459
1573	4837	7455
1574	4840	7452
1575	4844	7450
1576	4846	7447
1577	4849	7443
1578	4852	7440
1579	4855	7436
1580	4858	7433
1581	4861	7430
1582	4865	7428
1583	4868	7425
1584	4871	7422
1585	4874	7419
1586	4877	7415
1587	4881	7414
1588	4885	7412
1589	4889	7410
1590	4892	7407
1591	4894	7403
1592	4899	7403
1593	4902	7400
1594	4905	7396
1595	4907	7391
1596	4910	7388
1597	4917	7391
1598	4921	7389
1599	4924	7386
1600	4930	7388
1601	4934	7386
1602	4938	7384
1603	4942	7382
1604	4948	7384
1605	4952	7383
1606	5011	7462
1607	5016	7462
1608	5018	7457
1609	5020	7452
1610	5022	7448
1611	5025	7444
1612	5027	7439
1613	5032	7439
1614	5035	7435
1615	5038	7432
1616	5042	7430
1617	5046	7428
1618	5049	7426
1619	5053	7423
1620	5055	7419
1621	5059	7418
1622	5064	7416
1623	5067	7414
1624	5069	7409
1625	5073	7407
1626	5075	7403
1627	5079	7400
1628	5083	7398
1629	5086	7396
1630	5091	7394
1631	5096	7395
1632	5100	7393
1633	5104	7391
1634	5109	7391
1635	5112	7387
1636	5115	7384
1637	5118	7380
1638	5121	7377
1639	5125	7376
1640	5129	7373
1641	5131	7369
1642	5134	7366
1643	5137	7362
1644	5143	7363
1645	5146	7360
1646	5150	7358
1647	5153	7354
1648	5158	7354
1649	5161	7351
1650	5164	7347
1651	5168	7346
1652	5172	7344
1653	5174	7339
1654	5180	7341
1655	5183	7337
1656	5186	7333
1657	5187	7328
1658	5189	7323
1659	5192	7318
1660	5196	7317
1661	5202	7318
1662	5205	7315
1663	5208	7311
1664	5210	7306
1665	5216	7308
1666	5222	7308
1667	5229	7311
1668	5234	7311
1669	5239	7309
1670	5244	7310
1671	5247	7305
1672	5249	7302
1673	5256	7303
1674	5260	7301
1675	5265	7301
1676	5269	7299
1677	5273	7296
1678	5277	7295
1679	5281	7294
1680	5285	7291
1681	5288	7287
1682	5291	7284
1683	5293	7280
1684	5298	7279
1685	5306	7283
1686	5312	7283
1687	5315	7279
1688	5321	7281
1689	5324	7278
1690	5329	7277
1691	5332	7274
1692	5334	7268
1693	5336	7264
1694	5339	7260
1695	5340	7255
1696	5343	7251
1697	5346	7247
1698	5349	7245
1699	5352	7241
1700	5355	7238
1701	5359	7236
1702	5362	7233
1703	5367	7232
